"","EUK.BLANK","EUK.ExrNTC","EUK.ExrPTC","EUK.LH.MD9.0000","EUK.LH.MD9.0250","EUK.LH.MD9.0450","EUK.LH.MD9.0700","EUK.LH.MD9.0900","EUK.LH.MD9.1150","EUK.NM.MD9.1849","EUK.NM.MD9.2050","EUK.NM.MD9.2250","EUK.NM.MD9.2450","EUK.NM.MD9.2650","EUK.TubNTC","OTU","assignmentQual","taxID","superkingdom","phylum","class","order","family","genus","species"
"ASV_5750",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"ASV_5750","Low","1709941","Eukaryota","","","","","","fungal sp."
"ASV_5751",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"ASV_5751","None","None",NA,NA,NA,NA,NA,NA,NA
"ASV_5752",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_5753",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"ASV_5753","None","None",NA,NA,NA,NA,NA,NA,NA
"ASV_5754",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"ASV_5754","Low","5916","Eukaryota","Ciliophora","Oligohymenophorea","Hymenostomatida","Tetrahymenidae","Tetrahymena","Tetrahymena limacis"
"ASV_5755",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"ASV_5755","None","None",NA,NA,NA,NA,NA,NA,NA
"ASV_5756",0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_5757",0,0,0,4,1,2,1,2,0,1,0,0,0,0,0,"ASV_5757","None","None",NA,NA,NA,NA,NA,NA,NA
"ASV_5758",0,0,0,1,2,3,1,3,1,1,0,0,0,0,0,"ASV_5758","Low","1301301","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Nitrobacteraceae","","Bradyrhizobiaceae bacterium VP55"
"ASV_5759",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,"ASV_5759","Low","629754","Eukaryota","Cercozoa","Imbricatea","Thaumatomonadida","Thaumatomastigidae","Protaspis","Protaspis sp. CC-2009c"
"ASV_5760",0,0,0,0,0,3,3,0,0,0,1,0,3,0,0,"ASV_5760","None","None",NA,NA,NA,NA,NA,NA,NA
"ASV_5761",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"ASV_5761","Low","2602115","Eukaryota","Chlorophyta","Trebouxiophyceae","","","Xerochlorella","Xerochlorella sp. SAG 2582"
"ASV_5762",0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,"ASV_5762","None","None",NA,NA,NA,NA,NA,NA,NA
"ASV_5763",0,0,2,1,1,0,3,1,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_5764",0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_5765",0,0,0,4,5,0,0,1,1,0,0,0,0,0,0,"ASV_5765","Low","76791","Eukaryota","","Phaeophyceae","Asterocladales","Asterocladaceae","Asterocladon","Asterocladon lobatum"
"ASV_5766",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,"ASV_5766","Low","627966","Eukaryota","","Bigyra","Oblongichytrida","","Oblongichytrium","Oblongichytrium sp. PBS05"
"ASV_5767",0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,"ASV_5767","Low","2805731","Eukaryota","","","","","","Stramenopiles sp. MAST-9A-sp1"
"ASV_5768",0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,"ASV_5768","Low","1932610","Eukaryota","Cryptomycota","","","","Rozella","Rozella sp."
"ASV_5769",0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,"ASV_5769","None","None",NA,NA,NA,NA,NA,NA,NA
"ASV_5770",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"ASV_5770","Low","2608982","Bacteria","Planctomycetota","Planctomycetia","Planctomycetales","Planctomycetaceae","Gimesia","Gimesia benthica"
"ASV_5771",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"ASV_5771","Low","56","Bacteria","Myxococcota","","Polyangiales","Polyangiaceae","Sorangium","Sorangium cellulosum"
"ASV_5772",0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,"ASV_5772","None","None",NA,NA,NA,NA,NA,NA,NA
"ASV_5773",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"ASV_5773","Low","1416937","Eukaryota","Ciliophora","Oligohymenophorea","Apostomatida","Pseudocolliniidae","Fusiforma","Fusiforma themisticola"
"ASV_5774",0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,"ASV_5774","Low","2107687","Eukaryota","Apicomplexa","Conoidasida","Eugregarinorida","Siedleckiidae","Chattonaria","Chattonaria mesnili"
"ASV_5775",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"ASV_5775","Low","89963","Eukaryota","","Dinophyceae","Peridiniales","Heterocapsaceae","Heterocapsa","Heterocapsa rotundata"
"ASV_5776",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"ASV_5776","Low","2030824","Bacteria","Planctomycetota","Phycisphaerae","Phycisphaerales","Phycisphaeraceae","Phycisphaera","Phycisphaera sp."
"ASV_5777",0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,"ASV_5777","High-MH","None","Eukaryota","Chlorophyta","Chlorophyceae","Chlamydomonadales",NA,NA,NA
"ASV_5778",0,0,0,1,2,2,1,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_5779",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"ASV_5779","Low","2527976","Bacteria","Planctomycetota","Planctomycetia","Planctomycetales","Planctomycetaceae","Gimesia","Gimesia fumaroli"
"ASV_5780",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"ASV_5780","Low","2528035","Bacteria","Planctomycetota","Phycisphaerae","","","","Phycisphaerae bacterium RAS2"
"ASV_5781",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"ASV_5781","Low","1915357","Eukaryota","","Dinophyceae","Gonyaulacales","Gonyaulacaceae","Adenoides","Adenoides sp."
"ASV_5782",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_5783",0,0,0,2,1,6,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_5784",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"ASV_5784","Low","586226","Eukaryota","Arthropoda","Malacostraca","Decapoda","Polybiidae","Liocarcinus","Liocarcinus maculatus"
"ASV_5785",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,"ASV_5785","Low","2015511","Eukaryota","Euglenozoa","","Diplonemea","","","Diplonemida sp."
"ASV_5786",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"ASV_5786","Low","395882","Eukaryota","Ciliophora","Spirotrichea","","Strombidiidae","Varistrombidium","Varistrombidium kielum"
"ASV_5787",0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,"ASV_5787","None","None",NA,NA,NA,NA,NA,NA,NA
"ASV_5788",0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_5789",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,"ASV_5789","Low","2003111","Eukaryota","","Chrysophyceae","Chromulinales","Dinobryaceae","Poteriospumella","Poteriospumella sp."
"ASV_5790",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"ASV_5790","None","None",NA,NA,NA,NA,NA,NA,NA
"ASV_5791",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_5792",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,"ASV_5792","Low","1692006","Bacteria","","Deltaproteobacteria","","","","Deltaproteobacteria bacterium SMP-3"
"ASV_5793",0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,"ASV_5793","Low","2026763","Bacteria","Myxococcota","Myxococcia","Myxococcales","","","Myxococcales bacterium"
"ASV_5794",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,"ASV_5794","Low","2030824","Bacteria","Planctomycetota","Phycisphaerae","Phycisphaerales","Phycisphaeraceae","Phycisphaera","Phycisphaera sp."
"ASV_5795",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"ASV_5795","Low","641211","Eukaryota","Ciliophora","Spirotrichea","","Strombidiidae","Spirostrombidium","Spirostrombidium agathae"
"ASV_5796",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_5797",0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,"ASV_5797","None","None",NA,NA,NA,NA,NA,NA,NA
"ASV_5798",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_5799",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"ASV_5799","Low","1368430","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Rhizobiaceae","Rhizobium","Rhizobium rosettiformans"
"ASV_5800",0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,"ASV_5800","Low","2877781","Eukaryota","Basidiomycota","Agaricostilbomycetes","Agaricostilbales","Jianyuniaceae","Pseudosterigmatospora","Pseudosterigmatospora motuoensis"
"ASV_5801",0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_5802",0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_5803",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_5804",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_5805",0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,"ASV_5805","Low","2651821","Eukaryota","Endomyxa","Ascetosporea","Haplosporida","","","Haplosporida sp."
"ASV_5806",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,"ASV_5806","None","None",NA,NA,NA,NA,NA,NA,NA
"ASV_5807",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"ASV_5807","Low","44835","","","","","","","unidentified soil organism R6-60"
"ASV_5808",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"ASV_5808","Low","306","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas sp."
"ASV_5809",0,0,0,0,0,0,0,0,0,0,3,2,0,2,0,"ASV_5809","Low","2030824","Bacteria","Planctomycetota","Phycisphaerae","Phycisphaerales","Phycisphaeraceae","Phycisphaera","Phycisphaera sp."
"ASV_5810",0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_5811",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_5812",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_5813",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"ASV_5813","Low","1936003","Bacteria","Planctomycetota","Phycisphaerae","Sedimentisphaerales","Anaerohalosphaeraceae","Anaerohalosphaera","Anaerohalosphaera lusitana"
"ASV_5814",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_5815",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_5816",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"ASV_5816","Low","1873457","Bacteria","Actinomycetota","Actinomycetes","Micrococcales","Promicromonosporaceae","Promicromonospora","Promicromonospora sp."
"ASV_5817",0,0,0,1,2,1,0,2,4,0,0,0,0,0,0,"ASV_5817","Low","2527970","Bacteria","Planctomycetota","Planctomycetia","Pirellulales","Pirellulaceae","Blastopirellula","Blastopirellula retiformator"
"ASV_5818",0,0,0,0,2,2,0,1,1,1,0,0,0,0,0,"ASV_5818","Low","1536791","Eukaryota","","Choanoflagellata","Craspedida","Salpingoecidae","Salpingoeca","Salpingoeca fusiformis"
"ASV_5819",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"ASV_5819","Low","1936003","Bacteria","Planctomycetota","Phycisphaerae","Sedimentisphaerales","Anaerohalosphaeraceae","Anaerohalosphaera","Anaerohalosphaera lusitana"
"ASV_5820",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,"ASV_5820","Low","2872646","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Hyphomicrobiaceae","Caenibius","Caenibius sp. WL"
"ASV_5821",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"ASV_5821","Low","2732249","Bacteria","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonas","Gemmatimonas groenlandica"
"ASV_5822",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"ASV_5822","None","None",NA,NA,NA,NA,NA,NA,NA
"ASV_5823",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"ASV_5823","Low","926335","Eukaryota","Chlorophyta","Nephroselmidophyceae","Nephroselmidales","Nephroselmidaceae","Nephroselmis","Nephroselmis clavistella"
"ASV_5824",0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,"ASV_5824","Low","104782","Eukaryota","Rotifera","Eurotatoria","Adinetida","Adinetidae","Adineta","Adineta vaga"
"ASV_5825",0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,"ASV_5825","Low","46431","Bacteria","Thermodesulfobacteriota","Desulfuromonadia","Desulfuromonadales","Desulfuromonadaceae","Pelobacter","Pelobacter sp."
"ASV_5826",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"ASV_5826","Low","422443","Eukaryota","Basidiomycota","Agaricomycetes","Polyporales","","","Aphyllophorales sp. LM663"
"ASV_5827",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_5828",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"ASV_5828","Low","1088","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Rhodovibrionaceae","Rhodovibrio","Rhodovibrio sodomensis"
"ASV_5829",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_5830",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,"ASV_5830","Low","1123043","Bacteria","Planctomycetota","Planctomycetia","Gemmatales","Gemmataceae","Telmatocola","Telmatocola sphagniphila"
"ASV_5831",0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,"ASV_5831","None","None",NA,NA,NA,NA,NA,NA,NA
"ASV_5832",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,"ASV_5832","Low","2026206","Eukaryota","Ctenophora","","","","","Ctenophora sp. 15 SM-2017"
"ASV_5833",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,"ASV_5833","Low","88552","Eukaryota","","Dinophyceae","Syndiniales","Amoebophryaceae","Amoebophrya","Amoebophrya sp."
"ASV_5834",0,0,0,7,3,0,0,2,1,0,0,0,0,0,0,"ASV_5834","Low","195967","Eukaryota","Chlorophyta","Mamiellophyceae","Dolichomastigales","Crustomastigaceae","Crustomastix","Crustomastix stigmatica"
"ASV_5835",0,0,0,3,0,1,1,3,3,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_5836",0,0,0,0,1,0,2,2,3,0,0,1,0,0,0,"ASV_5836","Low","1662188","Bacteria","Pseudomonadota","Gammaproteobacteria","Thiotrichales","Thiotrichaceae","Achromatium","Candidatus Achromatium palustre"
"ASV_5837",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_5838",0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_5839",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,"ASV_5839","None","None",NA,NA,NA,NA,NA,NA,NA
"ASV_5840",0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,"ASV_5840","Low","2053489","Archaea","Candidatus Lokiarchaeota","","","","","Candidatus Lokiarchaeota archaeon"
"ASV_5841",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,"ASV_5841","Low","2528021","Bacteria","Planctomycetota","Planctomycetia","Pirellulales","Pirellulaceae","Anatilimnocola","Anatilimnocola aggregata"
"ASV_5842",0,0,4,1,0,1,0,2,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_5843",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,"ASV_5843","Low","2026243","Eukaryota","Mucoromycota","","","","","Glomeromycotina sp."
"ASV_5844",0,0,3,0,1,3,0,0,0,0,0,0,0,0,0,"ASV_5844","None","None",NA,NA,NA,NA,NA,NA,NA
"ASV_5845",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_5846",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"ASV_5846","Low","2052164","Bacteria","Planctomycetota","Planctomycetia","Gemmatales","Gemmataceae","","Gemmataceae bacterium"
"ASV_5847",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_5848",0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,"ASV_5848","None","None",NA,NA,NA,NA,NA,NA,NA
"ASV_5849",0,0,0,2,5,4,0,3,0,0,0,0,0,0,0,"ASV_5849","Low","2699519","Eukaryota","Ciliophora","Armophorea","Metopida","Metopidae","Nyctotherus","Nyctotherus galerus"
"ASV_5850",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_5851",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,"ASV_5851","None","None",NA,NA,NA,NA,NA,NA,NA
"ASV_5852",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_5853",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_5854",0,0,0,0,1,2,4,1,0,0,0,0,0,0,0,"ASV_5854","Low","145168","Eukaryota","","Bigyra","Thraustochytrida","Thraustochytriaceae","Thraustochytrium","Thraustochytrium sp."
"ASV_5855",0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,"ASV_5855","Low","151749","Eukaryota","","","","","","Uncultured marine alveolate Group II DH147-EKD16"
"ASV_5856",0,0,0,0,0,5,0,0,0,1,1,0,0,0,0,"ASV_5856","Low-MH-S","1312089;1312103;1312105","Eukaryota","","Bigyra","Oblongichytrida","","Oblongichytrium",NA
"ASV_5857",0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,"ASV_5857","Low","1434936","Eukaryota","","Dinophyceae","Peridiniales","Amphidiniopsidaceae","Herdmania","Herdmania litoralis"
"ASV_5858",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_5859",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,"ASV_5859","Low","2030824","Bacteria","Planctomycetota","Phycisphaerae","Phycisphaerales","Phycisphaeraceae","Phycisphaera","Phycisphaera sp."
"ASV_5860",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,"ASV_5860","None","None",NA,NA,NA,NA,NA,NA,NA
"ASV_5861",0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,"ASV_5861","None","None",NA,NA,NA,NA,NA,NA,NA
"ASV_5862",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"ASV_5862","Low-MH-S","1618364;1618504","Bacteria",NA,NA,NA,NA,NA,NA
"ASV_5863",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"ASV_5863","Low","2728132","Eukaryota","","Cryptophyceae","Cyathomonadacea","Goniomonadaceae","Goniomonas","Goniomonas sp. HFCC157"
"ASV_5864",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"ASV_5864","High-MH","None","Eukaryota","Chlorophyta","Chlorophyceae","Chaetophorales",NA,NA,NA
"ASV_5865",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"ASV_5865","Low","2728140","Eukaryota","Euglenozoa","Kinetoplastea","Neobodonida","","Neobodo","Neobodo sp. HFCC729"
"ASV_5866",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_5867",0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,"ASV_5867","Low","3171","Eukaryota","Chlorophyta","Trebouxiophyceae","Trebouxiales","Trebouxiaceae","Myrmecia","Myrmecia israelensis"
"ASV_5868",0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,"ASV_5868","Low","1940336","Eukaryota","Endomyxa","Ascetosporea","Haplosporida","Haplosporidiidae","Minchinia","Minchinia sp. ex Cerastoderma edule"
"ASV_5869",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,"ASV_5869","Low","2824561","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Luteolibacter","Luteolibacter ambystomatis"
"ASV_5870",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,"ASV_5870","Low","1632501","Bacteria","","","","","","bacterium YC-ZSS-LKJ109"
"ASV_5871",0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,"ASV_5871","Low-MH-S","1618364;1618504","Bacteria",NA,NA,NA,NA,NA,NA
"ASV_5872",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"ASV_5872","None","None",NA,NA,NA,NA,NA,NA,NA
"ASV_5873",0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_5874",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_5875",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_5876",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"ASV_5876","None","None",NA,NA,NA,NA,NA,NA,NA
"ASV_5877",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_5878",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,"ASV_5878","Low","1936003","Bacteria","Planctomycetota","Phycisphaerae","Sedimentisphaerales","Anaerohalosphaeraceae","Anaerohalosphaera","Anaerohalosphaera lusitana"
"ASV_5879",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"ASV_5879","Low","1619079","Bacteria","","","","","","candidate division TM6 bacterium GW2011_GWF2_32_72"
"ASV_5880",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"ASV_5880","Low","83406","Bacteria","Pseudomonadota","Gammaproteobacteria","","","","gamma proteobacterium HdN1"
"ASV_5881",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"ASV_5881","None","None",NA,NA,NA,NA,NA,NA,NA
"ASV_5882",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"ASV_5882","Low","2030824","Bacteria","Planctomycetota","Phycisphaerae","Phycisphaerales","Phycisphaeraceae","Phycisphaera","Phycisphaera sp."
"ASV_5883",0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,"ASV_5883","Low","267548","Eukaryota","Streptophyta","Magnoliopsida","Caryophyllales","Chenopodiaceae","Salicornia","Salicornia ramosissima"
"ASV_5884",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_5885",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_5886",0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_5887",0,0,0,3,1,2,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_5888",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"ASV_5888","None","None",NA,NA,NA,NA,NA,NA,NA
"ASV_5889",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"ASV_5889","Low","692036","Bacteria","Planctomycetota","Planctomycetia","Gemmatales","Gemmataceae","Tuwongella","Tuwongella immobilis"
"ASV_5890",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,"ASV_5890","High-MH","None","Eukaryota","Bacillariophyta","Coscinodiscophyceae","Thalassiosirales","Thalassiosiraceae",NA,NA
"ASV_5891",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"ASV_5891","Low","151027","Eukaryota","Cercozoa","Thecofilosea","Cryomonadida","Protaspidae","Cryothecomonas","Cryothecomonas longipes"
"ASV_5892",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"ASV_5892","Low","1191523","Bacteria","Ignavibacteriota","Ignavibacteria","Ignavibacteriales","Melioribacteraceae","Melioribacter","Melioribacter roseus"
"ASV_5893",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"ASV_5893","Low","88552","Eukaryota","","Dinophyceae","Syndiniales","Amoebophryaceae","Amoebophrya","Amoebophrya sp."
"ASV_5894",0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,"ASV_5894","None","None",NA,NA,NA,NA,NA,NA,NA
"ASV_5895",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"ASV_5895","Low","1579979","Bacteria","Pseudomonadota","Gammaproteobacteria","Chromatiales","Wenzhouxiangellaceae","Wenzhouxiangella","Wenzhouxiangella marina"
"ASV_5896",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,"ASV_5896","Low","1632864","Bacteria","Planctomycetota","Planctomycetia","Planctomycetales","Planctomycetaceae","Planctomyces","Planctomyces sp. SH-PL14"
"ASV_5897",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"ASV_5897","None","None",NA,NA,NA,NA,NA,NA,NA
"ASV_5898",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"ASV_5898","None","None",NA,NA,NA,NA,NA,NA,NA
"ASV_5899",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"ASV_5899","Low","1906667","Archaea","Candidatus Thermoplasmatota","Thermoplasmata","Methanomassiliicoccales","","","Methanomassiliicoccales archaeon"
"ASV_5900",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"ASV_5900","Low","88552","Eukaryota","","Dinophyceae","Syndiniales","Amoebophryaceae","Amoebophrya","Amoebophrya sp."
"ASV_5901",0,0,0,0,1,3,0,2,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_5902",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
